year,month,pr,pet,lr
1971,1,0,198.1852311,0
1971,2,0.55,203.5224915,0
1971,3,3.8,226.6102029,0
1971,4,33.1,207.6587655,0
1971,5,22.35,189.9165445,0
1971,6,67.2,169.0451804,0.019995429
1971,7,179.9,120.2313134,0.146756571
1971,8,181.5,113.2276494,1.078272
1971,9,111.3,131.5370631,1.403259429
1971,10,1.3,187.443602,0.333257143
1971,11,0,186.9190248,0
1971,12,2.9,189.137655,0
1972,1,0,199.2011838,0
1972,2,0.15,207.5241826,0
1972,3,0,227.1098083,0
1972,4,34.5,189.4380496,0
1972,5,74.25,159.9345829,0.012342857
1972,6,184.35,125.9653044,NA
1972,7,145.6,122.0136697,NA
1972,8,159.5,115.8073281,1.336338604
1972,9,119.25,144.6524239,0.992189897
1972,10,63.15,183.3251691,0.222101486
1972,11,0,181.9919673,0.036103131
1972,12,0,186.0098083,0.007537371
1973,1,0,206.5,0.000255086
1973,2,6.4,196.7888952,0
1973,3,0,221.6211105,0
1973,4,45.95,194.3921646,0.032204571
1973,5,30.9,186.0226888,0.031560686
1973,6,69.95,145.1806652,0.105248366
1973,7,184.65,121.0003946,2.8824768
1973,8,170.7,119.8706595,5.156076343
1973,9,93.45,139.451832,2.023305874
1973,10,9.3,191.1315107,0.876906514
1973,11,0.15,193.6447012,0.074969691
1973,12,0,183.276212,0.005266286
1974,1,0,194.5612458,0
1974,2,0,191.5026776,0
1974,3,1.3,210.8905862,0
1974,4,0.05,188.7218997,0
1974,5,40.3,179.2124859,0.124469486
1974,6,67.6,147.2247745,0.343753509
1974,7,227.7,104.3786922,7.096381714
1974,8,330.75,109.1092165,18.21168
1974,9,134.35,130.7704622,4.78207488
1974,10,39.1,164.217841,0.7500384
1974,11,0,168.1450958,0.059868617
1974,12,0,179.4512401,0.003748114
1975,1,0,192.5391488,0
1975,2,0,175.9569899,0
1975,3,0,202.7836528,0
1975,4,4.65,182.3510428,0
1975,5,17.15,163.5483653,0
1975,6,86.15,134.1184329,0.017354331
1975,7,215.95,99.24588501,3.164877257
1975,8,258.4,113.7278467,5.690583771
1975,9,78.95,124.9184329,3.812919223
1975,10,8.15,172.336274,0.611921829
1975,11,0,171.6539177,0.063193234
1975,12,0,180.8592728,0.006064457
1976,1,1.6,186.4752255,0
1976,2,0,189.7116967,0
1976,3,9.9,206.9629369,0
1976,4,2.25,185.5122886,0
1976,5,81.45,152.1088219,0.068103771
1976,6,122.15,121.2524239,0.383172754
1976,7,160.55,111.9243799,1.574434286
1976,8,172.55,113.4524239,2.342501486
1976,9,177.45,133.4065389,1.510107429
1976,10,85.25,153.0215051,1.253211429
1976,11,0,171.048168,0.330833417
1976,12,0,167.90823,0.0970272
1977,1,0.9,178.0688839,0.024109714
1977,2,0,187.5389515,0
1977,3,2.45,215.7207159,0
1977,4,1.5,179.2571871,0
1977,5,44.35,164.7788895,0
1977,6,56.7,139.8349775,0.318270446
1977,7,120,121.1552988,1.350127543
1977,8,219.75,114.2641206,1.825611429
1977,9,120.1,133.8364713,4.808897143
1977,10,17.45,168.9690812,1.299562971
1977,11,0,167.9447012,0.189664731
1977,12,0,171.8305242,0.038530286
1978,1,0,187.6552988,0.005513143
1978,2,0,162.2090192,0
1978,3,14,182.7932638,0
1978,4,73.3,163.5122886,0.029577189
1978,5,53.45,151.7823563,1.3464
1978,6,118.6,117.9098083,0.44494176
1978,7,178.8,106.909611,0.570560914
1978,8,163.25,119.7432074,9.278434286
1978,9,128.5,132.6124859,4.959291429
1978,10,40.15,164.1662063,0.9170496
1978,11,0,177.9867249,0.139557394
1978,12,0,175.1811725,0.052416
1979,1,0,208.3777057,0.006624
1979,2,0,203.9598647,0
1979,3,4.9,235.4063416,0
1979,4,12.9,217.1856257,0
1979,5,25.75,170.7888952,0.108699429
1979,6,119.25,125.8432074,0.231230949
1979,7,143.65,118.4677847,1.254379886
1979,8,137.4,122.4403326,3.032228571
1979,9,156.1,134.1796787,8.301339429
1979,10,41.85,171.6001973,1.508502857
1979,11,12.95,186.4071308,0.251072366
1979,12,0,193.8086246,0.091909029
1980,1,0,206.7587655,0.013659429
1980,2,0,203.5155581,0
1980,3,0,259.6428974,0
1980,4,10.35,206.8622322,0
1980,5,24.6,199.1040586,0.005348571
1980,6,86.15,133.2130778,0.852432686
